dbms,schema_config,query_id,framework,overhead_pct,log_ratio,n_blocks
Oracle,indexed,Q17,django,15.34,0.1427,8
Oracle,indexed,Q17,sqlalchemy,5.92,0.0575,8
Oracle,indexed,Q18,django,1.52,0.0151,8
Oracle,indexed,Q18,sqlalchemy,0.15,0.0015,8
Oracle,indexed,Q19,django,5.6,0.0545,8
Oracle,indexed,Q19,sqlalchemy,4.79,0.0467,8
Oracle,indexed,Q20,django,-76.4,-1.4441,8
Oracle,indexed,Q20,sqlalchemy,0.09,0.0009,8
Oracle,indexed,Q21,django,-11.56,-0.1229,8
Oracle,indexed,Q21,sqlalchemy,0.33,0.0033,8
Oracle,indexed,Q22,django,46.47,0.3817,8
Oracle,indexed,Q22,sqlalchemy,1.64,0.0163,8
Oracle,non-indexed,Q01,django,12.72,0.1198,8
Oracle,non-indexed,Q01,sqlalchemy,16.52,0.1529,8
Oracle,non-indexed,Q02,django,224.6,1.1774,8
Oracle,non-indexed,Q02,sqlalchemy,46.55,0.3822,8
Oracle,non-indexed,Q03,django,-10.77,-0.1139,8
Oracle,non-indexed,Q03,sqlalchemy,2.77,0.0274,8
Oracle,non-indexed,Q04,django,-42.3,-0.5499,8
Oracle,non-indexed,Q04,sqlalchemy,1.08,0.0107,8
Oracle,non-indexed,Q05,django,-26.02,-0.3014,8
Oracle,non-indexed,Q05,sqlalchemy,1.81,0.0179,8
Oracle,non-indexed,Q06,django,-5.78,-0.0595,8
Oracle,non-indexed,Q06,sqlalchemy,0.67,0.0067,8
Oracle,non-indexed,Q07,django,-0.56,-0.0056,8
Oracle,non-indexed,Q07,sqlalchemy,0.21,0.0021,8
Oracle,non-indexed,Q08,django,0.42,0.0042,8
Oracle,non-indexed,Q08,sqlalchemy,-0.1,-0.001,8
Oracle,non-indexed,Q09,django,72.89,0.5475,8
Oracle,non-indexed,Q09,sqlalchemy,1.37,0.0136,8
Oracle,non-indexed,Q10,django,0.59,0.0059,8
Oracle,non-indexed,Q10,sqlalchemy,3.1,0.0305,8
Oracle,non-indexed,Q11,django,76.34,0.5672,8
Oracle,non-indexed,Q11,sqlalchemy,76.66,0.569,8
Oracle,non-indexed,Q12,django,3.73,0.0366,8
Oracle,non-indexed,Q12,sqlalchemy,-2.63,-0.0267,8
Oracle,non-indexed,Q13,sqlalchemy,-2.08,-0.021,8
Oracle,non-indexed,Q14,django,1.23,0.0122,8
Oracle,non-indexed,Q14,sqlalchemy,0.6,0.006,8
Oracle,non-indexed,Q15,django,106.73,0.7263,8
Oracle,non-indexed,Q15,sqlalchemy,145.73,0.8991,8
Oracle,non-indexed,Q16,django,6.88,0.0665,8
Oracle,non-indexed,Q16,sqlalchemy,16.72,0.1546,8
Oracle,non-indexed,Q17,django,75799.7,6.632,8
Oracle,non-indexed,Q17,sqlalchemy,0.44,0.0044,8
Oracle,non-indexed,Q18,django,0.94,0.0093,8
Oracle,non-indexed,Q18,sqlalchemy,0.16,0.0016,8
Oracle,non-indexed,Q19,django,87.15,0.6268,8
Oracle,non-indexed,Q19,sqlalchemy,89.36,0.6385,8
Oracle,non-indexed,Q20,django,31103.35,5.7431,8
Oracle,non-indexed,Q20,sqlalchemy,0.05,0.0005,8
Oracle,non-indexed,Q21,django,-11.75,-0.125,8
Oracle,non-indexed,Q21,sqlalchemy,0.57,0.0057,8
Oracle,non-indexed,Q22,django,33.35,0.2878,8
Oracle,non-indexed,Q22,sqlalchemy,1.17,0.0117,8
