system,schema,query,framework,theta,overhead,sql_s,orm_s,rows,blocks
mysql,non-indexed,Q08,sqlalchemy,-0.0015442024422983884,-0.15430107751776728,64.023393,63.9785025,2,8
mysql,non-indexed,Q09,django,-0.033114684261934264,-3.2572395494044883,69.69164,67.54268450000001,175,8
mysql,non-indexed,Q09,sqlalchemy,-4.441959218477245e-05,-0.0044418605649294745,69.838855,69.7925335,175,8
mysql,non-indexed,Q10,django,-0.06424603723016983,-6.2225756232822,11.972064,11.223075,20,8
mysql,non-indexed,Q10,sqlalchemy,-0.0017281005890521122,-0.17266082829712884,11.966801,11.9517415,20,8
mysql,non-indexed,Q11,django,-0.0009063414187748817,-0.09059308154494904,5.376156,5.3673835,1469,8
mysql,non-indexed,Q11,sqlalchemy,0.00013899947258442616,0.013900913345872914,5.392688,5.405196500000001,1469,8
mysql,non-indexed,Q12,django,-0.14406684780527718,-13.417013270174666,8.527588,7.384413,2,8
mysql,non-indexed,Q12,sqlalchemy,0.0015228731754849249,0.15240333356901034,8.5370905,8.550867499999999,2,8
mysql,non-indexed,Q13,sqlalchemy,0.00022730222365461466,0.02273280587624759,4.2043029999999995,4.185362,42,8
mysql,non-indexed,Q14,django,0.008758187164095831,0.8796652298238369,7.325262,7.390156,1,8
mysql,non-indexed,Q14,sqlalchemy,0.005123450756723255,0.5136598074172951,7.154287999999999,7.1586855,1,8
mysql,non-indexed,Q15,django,0.699956765277568,101.366564531319,6.674957,13.440545,1,8
mysql,non-indexed,Q15,sqlalchemy,0.00018841389699952735,0.018843164801264696,13.3431655,13.3500895,1,8
mysql,non-indexed,Q16,django,0.006243072605420226,0.6262601201527896,0.8753074999999999,0.878322,18374,8
mysql,non-indexed,Q16,sqlalchemy,0.040296521528385205,4.111944275508689,0.9145179999999999,0.93492,18374,8
mysql,non-indexed,Q18,django,-0.09797197230486765,-9.332568461089947,80.27610150000001,72.760165,57,8
mysql,non-indexed,Q18,sqlalchemy,-0.0036120868316611475,-0.3605571093519605,80.7639915,80.43932799999999,57,8
mysql,non-indexed,Q19,django,0.02270320800178426,2.29628872892471,12.658263,12.9432035,1,8
mysql,non-indexed,Q19,sqlalchemy,-0.014641176176291164,-1.4534515337586091,12.815674999999999,12.6242505,1,8
mysql,non-indexed,Q21,django,-0.0068372544423878565,-0.681393359868325,35.4697675,35.173523,100,8
mysql,non-indexed,Q21,sqlalchemy,-0.0006921006373760117,-0.06918611909734054,35.094394,35.039381000000006,100,8
mysql,non-indexed,Q22,django,0.018832966263070967,1.9011425114959588,1.4575740000000001,1.4852845,7,8
mysql,non-indexed,Q22,sqlalchemy,0.0021802867260259052,0.21826652794584492,1.4544805,1.45737,7,8
oracle,indexed,Q01,django,0.12271098326608237,13.055762365292692,4.1624225,4.6963375,4,8
oracle,indexed,Q01,sqlalchemy,0.1477016139597993,15.916696551430126,4.107355,4.7815425000000005,4,8
oracle,indexed,Q02,django,1.0914013292367097,197.84449314696653,0.031314,0.092626,100,8
oracle,indexed,Q02,sqlalchemy,0.5047066512120335,65.64995170544859,0.032076499999999994,0.0531535,100,8
oracle,indexed,Q03,django,-0.10955741890115253,-10.376929769742972,1.243881,1.114563,10,8
oracle,indexed,Q03,sqlalchemy,0.02853896248313515,2.89501005044601,1.1140015,1.1463265,10,8
oracle,indexed,Q04,django,-0.6071532253531964,-45.510012966444954,1.12934,0.6153139999999999,5,8
oracle,indexed,Q04,sqlalchemy,0.011350430553823558,1.1415091100810892,1.1066505,1.118271,5,8
oracle,indexed,Q05,django,-0.3518568778975405,-29.661921589066765,1.5373815,1.083225,5,8
oracle,indexed,Q05,sqlalchemy,0.011514871064393313,1.1581422390215732,1.5224955,1.5365190000000002,5,8
oracle,indexed,Q06,django,-0.05800352459514587,-5.635337854136425,0.7419659999999999,0.697293,1,8
oracle,indexed,Q06,sqlalchemy,0.00567938964482898,0.5695547953491757,0.6965285,0.695526,1,8
oracle,indexed,Q07,django,0.005217794514629236,0.5231430911416881,1.2670545,1.2740765,4,8
oracle,indexed,Q07,sqlalchemy,0.0031016531140145055,0.3106468217007072,1.270263,1.273869,4,8
oracle,indexed,Q08,django,0.005011850075322351,0.5024430404037514,1.1238375,1.129486,2,8
oracle,indexed,Q08,sqlalchemy,-0.0005328869441486492,-0.05327449851181849,1.1281695,1.127932,2,8
oracle,indexed,Q09,django,0.5631504663701392,75.61966323604393,2.2769019999999998,3.9435515,175,8
oracle,indexed,Q09,sqlalchemy,0.017535235168958056,1.7689879993898032,2.315551,2.3552725,175,8
oracle,indexed,Q10,django,0.0036049510466454574,0.36114566978387935,0.9514670000000001,0.9569145,20,8
oracle,indexed,Q10,sqlalchemy,0.033297280787506,3.385783963452667,0.950834,0.9850369999999999,20,8
oracle,indexed,Q11,django,0.5656496202295677,76.05911269238923,0.283543,0.499477,1469,8
oracle,indexed,Q11,sqlalchemy,0.582922434206947,79.12656449294775,0.2805975,0.5060175,1469,8
