benchmark,orm,query_id,query_name,dbms,schema_config,scale_factor,direct_sql_execution_s,total_orm_execution_s,overhead_percentage,rows_returned,sql_status,orm_status,status_note,campaign_id
tpch,SQLALCHEMY,Q08,National Market Share,Commercial System A,Indexed,1,1.495124,1.650613,4.93,2,ok,ok,,sf1
tpch,DJANGO,Q09,Product Type Profit Measure,Commercial System A,Indexed,1,2.097354,2.764712,40.98,175,ok,ok,,sf1
tpch,SQLALCHEMY,Q09,Product Type Profit Measure,Commercial System A,Indexed,1,1.754134,1.829344,3.69,175,ok,ok,,sf1
tpch,DJANGO,Q10,Returned Item Reporting,Commercial System A,Indexed,1,1.300902,1.329413,2.18,20,ok,ok,,sf1
tpch,SQLALCHEMY,Q10,Returned Item Reporting,Commercial System A,Indexed,1,1.290876,1.34217,4.13,20,ok,ok,,sf1
tpch,DJANGO,Q11,Important Stock Identification,Commercial System A,Indexed,1,0.284685,0.286359,0.71,1048,ok,ok,,sf1
tpch,SQLALCHEMY,Q11,Important Stock Identification,Commercial System A,Indexed,1,0.283223,0.28717,1.51,1048,ok,ok,,sf1
tpch,DJANGO,Q12,Shipping Modes and Order Priority,Commercial System A,Indexed,1,1.326561,2.461393,85.3,2,ok,ok,,sf1
tpch,SQLALCHEMY,Q12,Shipping Modes and Order Priority,Commercial System A,Indexed,1,1.327301,1.799603,35.87,2,ok,ok,,sf1
tpch,DJANGO,Q13,Customer Distribution,Commercial System A,Indexed,1,0.860606,,,,ok,not_expressible,not expressible in this ORM on this vendor (C17),sf1
tpch,SQLALCHEMY,Q13,Customer Distribution,Commercial System A,Indexed,1,0.857136,2.08017,137.82,42,ok,ok,,sf1
tpch,DJANGO,Q14,Promotion Effect,Commercial System A,Indexed,1,1.276278,1.315943,3.47,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q14,Promotion Effect,Commercial System A,Indexed,1,1.272871,2.049765,61.03,1,ok,ok,,sf1
tpch,DJANGO,Q15,Top Supplier,Commercial System A,Indexed,1,1.094172,2.18605,99.79,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q15,Top Supplier,Commercial System A,Indexed,1,1.088086,3.826026,251.61,1,ok,ok,,sf1
tpch,DJANGO,Q16,Parts/Supplier Relationship,Commercial System A,Indexed,1,0.717569,1.08549,51.51,18314,ok,ok,,sf1
tpch,SQLALCHEMY,Q16,Parts/Supplier Relationship,Commercial System A,Indexed,1,0.737091,0.794687,8.1,18314,ok,ok,,sf1
tpch,DJANGO,Q17,Small-Quantity-Order Revenue,Commercial System A,Indexed,1,0.1007,0.909412,803.03,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q17,Small-Quantity-Order Revenue,Commercial System A,Indexed,1,0.100721,0.488406,198.15,1,ok,ok,,sf1
tpch,DJANGO,Q18,Large Volume Customer,Commercial System A,Indexed,1,3.373893,220.448789,6309.07,57,ok,ok,,sf1
tpch,SQLALCHEMY,Q18,Large Volume Customer,Commercial System A,Indexed,1,3.424311,3.588039,1.53,57,ok,ok,,sf1
tpch,DJANGO,Q19,Discounted Revenue,Commercial System A,Indexed,1,3.044731,6.167321,100.9,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q19,Discounted Revenue,Commercial System A,Indexed,1,2.830793,4.716429,69.13,1,ok,ok,,sf1
tpch,DJANGO,Q20,Potential Part Promotion,Commercial System A,Indexed,1,1.734269,3.503088,102.18,186,ok,ok,,sf1
tpch,SQLALCHEMY,Q20,Potential Part Promotion,Commercial System A,Indexed,1,1.738282,1.995211,14.87,186,ok,ok,,sf1
tpch,DJANGO,Q21,Suppliers Who Kept Orders Waiting,Commercial System A,Indexed,1,14.30211,39.957176,175.36,100,ok,ok,,sf1
tpch,SQLALCHEMY,Q21,Suppliers Who Kept Orders Waiting,Commercial System A,Indexed,1,14.563467,14.849086,2.53,100,ok,ok,,sf1
tpch,DJANGO,Q22,Global Sales Opportunity,Commercial System A,Indexed,1,0.385315,0.466468,21.21,7,ok,ok,,sf1
tpch,SQLALCHEMY,Q22,Global Sales Opportunity,Commercial System A,Indexed,1,0.386567,0.697542,80.39,7,ok,ok,,sf1
tpcc,DJANGO,T1,New-Order,Commercial System A,Indexed,1,0.048881,0.090729,85.61,1,ok,ok,"drift: new_order +16, order +16, order_line +144 | drift: new_order +16, order +16, order_line +144",sf1
tpcc,SQLALCHEMY,T1,New-Order,Commercial System A,Indexed,1,0.051042,0.08481,66.16,1,ok,ok,"drift: new_order +16, order +16, order_line +144 | drift: new_order +16, order +16, order_line +144",sf1
tpcc,DJANGO,T2,Payment,Commercial System A,Indexed,1,0.011091,0.031581,184.74,1,ok,ok,drift: history +16 | drift: history +16,sf1
tpcc,SQLALCHEMY,T2,Payment,Commercial System A,Indexed,1,0.010967,0.017869,62.93,1,ok,ok,drift: history +16 | drift: history +16,sf1
tpcc,DJANGO,T3,Order-Status,Commercial System A,Indexed,1,0.005479,0.014458,163.88,1,ok,ok,,sf1
tpcc,SQLALCHEMY,T3,Order-Status,Commercial System A,Indexed,1,0.005244,0.005274,0.57,1,ok,ok,,sf1
tpcc,DJANGO,T4,Delivery,Commercial System A,Indexed,1,0.077879,0.174539,124.12,1,ok,ok,drift: new_order -160 | drift: new_order -160,sf1
tpcc,SQLALCHEMY,T4,Delivery,Commercial System A,Indexed,1,0.098647,0.18919,91.78,1,ok,ok,drift: new_order -160 | drift: new_order -160,sf1
tpcc,DJANGO,T5,Stock-Level,Commercial System A,Indexed,1,0.060766,0.16888,177.92,1,ok,ok,,sf1
tpcc,SQLALCHEMY,T5,Stock-Level,Commercial System A,Indexed,1,0.126915,0.173119,36.41,1,ok,ok,,sf1
tpch,DJANGO,Q01,Pricing Summary Report,Commercial System A,Non-Indexed,1,3.5953,5.847105,60.43,4,ok,ok,,sf1
tpch,SQLALCHEMY,Q01,Pricing Summary Report,Commercial System A,Non-Indexed,1,3.671074,4.236868,15.8,4,ok,ok,,sf1
tpch,DJANGO,Q02,Minimum Cost Supplier,Commercial System A,Non-Indexed,1,0.182785,0.132914,-27.64,100,ok,ok,,sf1
tpch,SQLALCHEMY,Q02,Minimum Cost Supplier,Commercial System A,Non-Indexed,1,0.184413,0.189719,3.13,100,ok,ok,,sf1
tpch,DJANGO,Q03,Shipping Priority,Commercial System A,Non-Indexed,1,3.683487,3.568854,-3.69,10,ok,ok,,sf1
tpch,SQLALCHEMY,Q03,Shipping Priority,Commercial System A,Non-Indexed,1,3.618703,3.720403,3.66,10,ok,ok,,sf1
tpch,DJANGO,Q04,Order Priority Checking,Commercial System A,Non-Indexed,1,3.631832,26.324742,630.51,5,ok,ok,,sf1
tpch,SQLALCHEMY,Q04,Order Priority Checking,Commercial System A,Non-Indexed,1,3.530341,3.579896,2.31,5,ok,ok,,sf1
tpch,DJANGO,Q05,Local Supplier Volume,Commercial System A,Non-Indexed,1,3.668307,3.657307,0.76,5,ok,ok,,sf1
tpch,SQLALCHEMY,Q05,Local Supplier Volume,Commercial System A,Non-Indexed,1,3.661702,3.820624,3.08,5,ok,ok,,sf1
tpch,DJANGO,Q06,Forecasting Revenue Change,Commercial System A,Non-Indexed,1,2.842973,2.994982,3.13,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q06,Forecasting Revenue Change,Commercial System A,Non-Indexed,1,2.673962,3.091639,17.06,1,ok,ok,,sf1
tpch,DJANGO,Q07,Volume Shipping,Commercial System A,Non-Indexed,1,3.59825,3.580182,-1.97,4,ok,ok,,sf1
tpch,SQLALCHEMY,Q07,Volume Shipping,Commercial System A,Non-Indexed,1,3.674172,3.613479,-1.56,4,ok,ok,,sf1
tpch,DJANGO,Q08,National Market Share,Commercial System A,Non-Indexed,1,3.757924,3.76929,-0.84,2,ok,ok,,sf1
tpch,SQLALCHEMY,Q08,National Market Share,Commercial System A,Non-Indexed,1,3.764435,3.747976,0.15,2,ok,ok,,sf1
tpch,DJANGO,Q09,Product Type Profit Measure,Commercial System A,Non-Indexed,1,4.19917,4.93846,18.55,175,ok,ok,,sf1
tpch,SQLALCHEMY,Q09,Product Type Profit Measure,Commercial System A,Non-Indexed,1,4.340741,4.347521,0.1,175,ok,ok,,sf1
